compound_name,smiles,canonical_smiles,inchikey,source_dataset,source_record_id,column_name,column_chemistry,stationary_phase_type,mobile_phase_a,mobile_phase_b,ph,gradient_profile,initial_organic_pct,final_organic_pct,gradient_duration_min,total_runtime_min,temperature_c,flow_ml_min,injection_ul,ion_mode,precursor_mz,product_mz,rt_min,peak_area,peak_height,sn_ratio,tailing_factor,asymmetry,resolution,matrix,success_flag,quality_score,notes,missing_fields_count
epiafzelechin,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC=C(C=C3)O)O,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC=C(C=C3)O)O,RSYUFYQTACJFML-UHFFFAOYSA-N,RepoRT:0001,0001_00011,Waters ACQUITY UPLC HSS T3,C18,reversed phase,100% water + 0.1% formic + pH 3,100% methanol + 0.1% formic + pH 3,3.0,0.0min A100.0 B0.0 C0.0 D0.0 flow0.28; 1.0min A100.0 B0.0 C0.0 D0.0 flow0.28; 3.0min A90.0 B10.0 C0.0 D0.0 flow0.28; 18.0min A60.0 B40.0 C0.0 D0.0 flow0.28; 21.0min A0.0 B100.0 C0.0 D0.0 flow0.28; 25.5min A0.0 B100.0 C0.0 D0.0 flow0.28; 25.6min A100.0 B0.0 C0.0 D0.0 flow0.28; 28.0min A100.0 B0.0 C0.0 D0.0 flow0.28,0.0,100.0,21.0,28.0,40.0,0.28,,unknown,,,15.55,,,,,,,reference,True,,"RepoRT processed_data import; license CC-BY-SA-4.0; source=PredRet; url=https://doi.org/10.1007/s11306-014-0638-x; missing MS transitions and peak quality metrics; bulk RepoRT import target_rows=5000; skipped=0011:URLError,0012:URLError",10
esculetin,C1=CC(=O)OC2=CC(=C(C=C21)O)O,C1=CC(=O)OC2=CC(=C(C=C21)O)O,ILEDWLMCKZNDJK-UHFFFAOYSA-N,RepoRT:0001,0001_00012,Waters ACQUITY UPLC HSS T3,C18,reversed phase,100% water + 0.1% formic + pH 3,100% methanol + 0.1% formic + pH 3,3.0,0.0min A100.0 B0.0 C0.0 D0.0 flow0.28; 1.0min A100.0 B0.0 C0.0 D0.0 flow0.28; 3.0min A90.0 B10.0 C0.0 D0.0 flow0.28; 18.0min A60.0 B40.0 C0.0 D0.0 flow0.28; 21.0min A0.0 B100.0 C0.0 D0.0 flow0.28; 25.5min A0.0 B100.0 C0.0 D0.0 flow0.28; 25.6min A100.0 B0.0 C0.0 D0.0 flow0.28; 28.0min A100.0 B0.0 C0.0 D0.0 flow0.28,0.0,100.0,21.0,28.0,40.0,0.28,,unknown,,,12.19,,,,,,,reference,True,,"RepoRT processed_data import; license CC-BY-SA-4.0; source=PredRet; url=https://doi.org/10.1007/s11306-014-0638-x; missing MS transitions and peak quality metrics; bulk RepoRT import target_rows=5000; skipped=0011:URLError,0012:URLError",10
fertaric acid,COC1=C(C=CC(=C1)C=CC(=O)OC(C(C(=O)O)O)C(=O)O)O,COC1=C(C=CC(=C1)C=CC(=O)OC(C(C(=O)O)O)C(=O)O)O,XIWXUSFCUBAMFH-UHFFFAOYSA-N,RepoRT:0001,0001_00013,Waters ACQUITY UPLC HSS T3,C18,reversed phase,100% water + 0.1% formic + pH 3,100% methanol + 0.1% formic + pH 3,3.0,0.0min A100.0 B0.0 C0.0 D0.0 flow0.28; 1.0min A100.0 B0.0 C0.0 D0.0 flow0.28; 3.0min A90.0 B10.0 C0.0 D0.0 flow0.28; 18.0min A60.0 B40.0 C0.0 D0.0 flow0.28; 21.0min A0.0 B100.0 C0.0 D0.0 flow0.28; 25.5min A0.0 B100.0 C0.0 D0.0 flow0.28; 25.6min A100.0 B0.0 C0.0 D0.0 flow0.28; 28.0min A100.0 B0.0 C0.0 D0.0 flow0.28,0.0,100.0,21.0,28.0,40.0,0.28,,unknown,,,11.84,,,,,,,reference,True,,"RepoRT processed_data import; license CC-BY-SA-4.0; source=PredRet; url=https://doi.org/10.1007/s11306-014-0638-x; missing MS transitions and peak quality metrics; bulk RepoRT import target_rows=5000; skipped=0011:URLError,0012:URLError",10
fraxin,COC1=C(C(=C2C(=C1)C=CC(=O)O2)OC3C(C(C(C(O3)CO)O)O)O)O,COC1=C(C(=C2C(=C1)C=CC(=O)O2)OC3C(C(C(C(O3)CO)O)O)O)O,CRSFLLTWRCYNNX-UHFFFAOYSA-N,RepoRT:0001,0001_00014,Waters ACQUITY UPLC HSS T3,C18,reversed phase,100% water + 0.1% formic + pH 3,100% methanol + 0.1% formic + pH 3,3.0,0.0min A100.0 B0.0 C0.0 D0.0 flow0.28; 1.0min A100.0 B0.0 C0.0 D0.0 flow0.28; 3.0min A90.0 B10.0 C0.0 D0.0 flow0.28; 18.0min A60.0 B40.0 C0.0 D0.0 flow0.28; 21.0min A0.0 B100.0 C0.0 D0.0 flow0.28; 25.5min A0.0 B100.0 C0.0 D0.0 flow0.28; 25.6min A100.0 B0.0 C0.0 D0.0 flow0.28; 28.0min A100.0 B0.0 C0.0 D0.0 flow0.28,0.0,100.0,21.0,28.0,40.0,0.28,,unknown,,,12.6,,,,,,,reference,True,,"RepoRT processed_data import; license CC-BY-SA-4.0; source=PredRet; url=https://doi.org/10.1007/s11306-014-0638-x; missing MS transitions and peak quality metrics; bulk RepoRT import target_rows=5000; skipped=0011:URLError,0012:URLError",10
hesperetin,COC1=C(C=C(C=C1)C2CC(=O)C3=C(C=C(C=C3O2)O)O)O,COC1=C(C=C(C=C1)C2CC(=O)C3=C(C=C(C=C3O2)O)O)O,AIONOLUJZLIMTK-UHFFFAOYSA-N,RepoRT:0001,0001_00015,Waters ACQUITY UPLC HSS T3,C18,reversed phase,100% water + 0.1% formic + pH 3,100% methanol + 0.1% formic + pH 3,3.0,0.0min A100.0 B0.0 C0.0 D0.0 flow0.28; 1.0min A100.0 B0.0 C0.0 D0.0 flow0.28; 3.0min A90.0 B10.0 C0.0 D0.0 flow0.28; 18.0min A60.0 B40.0 C0.0 D0.0 flow0.28; 21.0min A0.0 B100.0 C0.0 D0.0 flow0.28; 25.5min A0.0 B100.0 C0.0 D0.0 flow0.28; 25.6min A100.0 B0.0 C0.0 D0.0 flow0.28; 28.0min A100.0 B0.0 C0.0 D0.0 flow0.28,0.0,100.0,21.0,28.0,40.0,0.28,,unknown,,,21.13,,,,,,,reference,True,,"RepoRT processed_data import; license CC-BY-SA-4.0; source=PredRet; url=https://doi.org/10.1007/s11306-014-0638-x; missing MS transitions and peak quality metrics; bulk RepoRT import target_rows=5000; skipped=0011:URLError,0012:URLError",10
isorhamnetin 3-glucoside,COC1=C(C=CC(=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O)O,COC1=C(C=CC(=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O)O,CQLRUIIRRZYHHS-UHFFFAOYSA-N,RepoRT:0001,0001_00016,Waters ACQUITY UPLC HSS T3,C18,reversed phase,100% water + 0.1% formic + pH 3,100% methanol + 0.1% formic + pH 3,3.0,0.0min A100.0 B0.0 C0.0 D0.0 flow0.28; 1.0min A100.0 B0.0 C0.0 D0.0 flow0.28; 3.0min A90.0 B10.0 C0.0 D0.0 flow0.28; 18.0min A60.0 B40.0 C0.0 D0.0 flow0.28; 21.0min A0.0 B100.0 C0.0 D0.0 flow0.28; 25.5min A0.0 B100.0 C0.0 D0.0 flow0.28; 25.6min A100.0 B0.0 C0.0 D0.0 flow0.28; 28.0min A100.0 B0.0 C0.0 D0.0 flow0.28,0.0,100.0,21.0,28.0,40.0,0.28,,unknown,,,20.53,,,,,,,reference,True,,"RepoRT processed_data import; license CC-BY-SA-4.0; source=PredRet; url=https://doi.org/10.1007/s11306-014-0638-x; missing MS transitions and peak quality metrics; bulk RepoRT import target_rows=5000; skipped=0011:URLError,0012:URLError",10
isorhamnetin 3-rutinoside,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)OC)O)O)O)O)O)O,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)OC)O)O)O)O)O)O,UIDGLYUNOUKLBM-UHFFFAOYSA-N,RepoRT:0001,0001_00017,Waters ACQUITY UPLC HSS T3,C18,reversed phase,100% water + 0.1% formic + pH 3,100% methanol + 0.1% formic + pH 3,3.0,0.0min A100.0 B0.0 C0.0 D0.0 flow0.28; 1.0min A100.0 B0.0 C0.0 D0.0 flow0.28; 3.0min A90.0 B10.0 C0.0 D0.0 flow0.28; 18.0min A60.0 B40.0 C0.0 D0.0 flow0.28; 21.0min A0.0 B100.0 C0.0 D0.0 flow0.28; 25.5min A0.0 B100.0 C0.0 D0.0 flow0.28; 25.6min A100.0 B0.0 C0.0 D0.0 flow0.28; 28.0min A100.0 B0.0 C0.0 D0.0 flow0.28,0.0,100.0,21.0,28.0,40.0,0.28,,unknown,,,20.59,,,,,,,reference,True,,"RepoRT processed_data import; license CC-BY-SA-4.0; source=PredRet; url=https://doi.org/10.1007/s11306-014-0638-x; missing MS transitions and peak quality metrics; bulk RepoRT import target_rows=5000; skipped=0011:URLError,0012:URLError",10
isorhapontin,COC1=C(C=CC(=C1)C=CC2=CC(=CC(=C2)OC3C(C(C(C(O3)CO)O)O)O)O)O,COC1=C(C=CC(=C1)C=CC2=CC(=CC(=C2)OC3C(C(C(C(O3)CO)O)O)O)O)O,KLPUXMNQDCUPNO-UHFFFAOYSA-N,RepoRT:0001,0001_00018,Waters ACQUITY UPLC HSS T3,C18,reversed phase,100% water + 0.1% formic + pH 3,100% methanol + 0.1% formic + pH 3,3.0,0.0min A100.0 B0.0 C0.0 D0.0 flow0.28; 1.0min A100.0 B0.0 C0.0 D0.0 flow0.28; 3.0min A90.0 B10.0 C0.0 D0.0 flow0.28; 18.0min A60.0 B40.0 C0.0 D0.0 flow0.28; 21.0min A0.0 B100.0 C0.0 D0.0 flow0.28; 25.5min A0.0 B100.0 C0.0 D0.0 flow0.28; 25.6min A100.0 B0.0 C0.0 D0.0 flow0.28; 28.0min A100.0 B0.0 C0.0 D0.0 flow0.28,0.0,100.0,21.0,28.0,40.0,0.28,,unknown,,,17.61,,,,,,,reference,True,,"RepoRT processed_data import; license CC-BY-SA-4.0; source=PredRet; url=https://doi.org/10.1007/s11306-014-0638-x; missing MS transitions and peak quality metrics; bulk RepoRT import target_rows=5000; skipped=0011:URLError,0012:URLError",10
kaempferol 3-glucoside,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O)O,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O)O,JPUKWEQWGBDDQB-UHFFFAOYSA-N,RepoRT:0001,0001_00019,Waters ACQUITY UPLC HSS T3,C18,reversed phase,100% water + 0.1% formic + pH 3,100% methanol + 0.1% formic + pH 3,3.0,0.0min A100.0 B0.0 C0.0 D0.0 flow0.28; 1.0min A100.0 B0.0 C0.0 D0.0 flow0.28; 3.0min A90.0 B10.0 C0.0 D0.0 flow0.28; 18.0min A60.0 B40.0 C0.0 D0.0 flow0.28; 21.0min A0.0 B100.0 C0.0 D0.0 flow0.28; 25.5min A0.0 B100.0 C0.0 D0.0 flow0.28; 25.6min A100.0 B0.0 C0.0 D0.0 flow0.28; 28.0min A100.0 B0.0 C0.0 D0.0 flow0.28,0.0,100.0,21.0,28.0,40.0,0.28,,unknown,,,20.285,,,,,,,reference,True,,"RepoRT processed_data import; license CC-BY-SA-4.0; source=PredRet; url=https://doi.org/10.1007/s11306-014-0638-x; missing MS transitions and peak quality metrics; bulk RepoRT import target_rows=5000; skipped=0011:URLError,0012:URLError",10
kaempferol 3-rutinoside,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC=C(C=C5)O)O)O)O)O)O)O,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC=C(C=C5)O)O)O)O)O)O)O,RTATXGUCZHCSNG-UHFFFAOYSA-N,RepoRT:0001,0001_00020,Waters ACQUITY UPLC HSS T3,C18,reversed phase,100% water + 0.1% formic + pH 3,100% methanol + 0.1% formic + pH 3,3.0,0.0min A100.0 B0.0 C0.0 D0.0 flow0.28; 1.0min A100.0 B0.0 C0.0 D0.0 flow0.28; 3.0min A90.0 B10.0 C0.0 D0.0 flow0.28; 18.0min A60.0 B40.0 C0.0 D0.0 flow0.28; 21.0min A0.0 B100.0 C0.0 D0.0 flow0.28; 25.5min A0.0 B100.0 C0.0 D0.0 flow0.28; 25.6min A100.0 B0.0 C0.0 D0.0 flow0.28; 28.0min A100.0 B0.0 C0.0 D0.0 flow0.28,0.0,100.0,21.0,28.0,40.0,0.28,,unknown,,,20.49,,,,,,,reference,True,,"RepoRT processed_data import; license CC-BY-SA-4.0; source=PredRet; url=https://doi.org/10.1007/s11306-014-0638-x; missing MS transitions and peak quality metrics; bulk RepoRT import target_rows=5000; skipped=0011:URLError,0012:URLError",10
luteolin 7-glucoside,C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)OC4C(C(C(C(O4)CO)O)O)O)O)O)O,C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)OC4C(C(C(C(O4)CO)O)O)O)O)O)O,PEFNSGRTCBGNAN-UHFFFAOYSA-N,RepoRT:0001,0001_00021,Waters ACQUITY UPLC HSS T3,C18,reversed phase,100% water + 0.1% formic + pH 3,100% methanol + 0.1% formic + pH 3,3.0,0.0min A100.0 B0.0 C0.0 D0.0 flow0.28; 1.0min A100.0 B0.0 C0.0 D0.0 flow0.28; 3.0min A90.0 B10.0 C0.0 D0.0 flow0.28; 18.0min A60.0 B40.0 C0.0 D0.0 flow0.28; 21.0min A0.0 B100.0 C0.0 D0.0 flow0.28; 25.5min A0.0 B100.0 C0.0 D0.0 flow0.28; 25.6min A100.0 B0.0 C0.0 D0.0 flow0.28; 28.0min A100.0 B0.0 C0.0 D0.0 flow0.28,0.0,100.0,21.0,28.0,40.0,0.28,,unknown,,,19.73,,,,,,,reference,True,,"RepoRT processed_data import; license CC-BY-SA-4.0; source=PredRet; url=https://doi.org/10.1007/s11306-014-0638-x; missing MS transitions and peak quality metrics; bulk RepoRT import target_rows=5000; skipped=0011:URLError,0012:URLError",10
