compound_name,smiles,canonical_smiles,inchikey,source_dataset,source_record_id,column_name,column_chemistry,stationary_phase_type,mobile_phase_a,mobile_phase_b,ph,gradient_profile,initial_organic_pct,final_organic_pct,gradient_duration_min,total_runtime_min,temperature_c,flow_ml_min,injection_ul,ion_mode,precursor_mz,product_mz,rt_min,peak_area,peak_height,sn_ratio,tailing_factor,asymmetry,resolution,matrix,success_flag,quality_score,notes,missing_fields_count
epicatechin,,,,RepoRT:local-smoke,,,,,,,,,,,,,,,,unknown,,,12.07,,,,,,,,True,,missing SMILES; local public export import; source_url=https://github.com/michaelwitting/RepoRT; license=CC-BY-SA-4.0; source_file=report_0001_rtdata_canonical_success.tsv,28
epicatechin gallate,,,,RepoRT:local-smoke,,,,,,,,,,,,,,,,unknown,,,15.99,,,,,,,,True,,missing SMILES; local public export import; source_url=https://github.com/michaelwitting/RepoRT; license=CC-BY-SA-4.0; source_file=report_0001_rtdata_canonical_success.tsv,28
