feature,importance_mean,importance_std,feature_group,importance_z,significance
gradient_slope_percent_b_min,2.5808533905610354,0.07537276462180731,lc_numeric,34.24119313535604,positive
initial_organic_pct,1.5063033380170328,0.018993616734867685,lc_numeric,79.30576672381855,positive
column_name,0.8157331560429526,0.013948123317003559,lc_categorical,58.483362779602565,positive
estimated_logd_ph3,0.6807882168745496,0.009085829308493451,compound_descriptor,74.9285721489559,positive
estimated_logd_ph7,0.6150219430065264,0.009263621630647693,compound_descriptor,66.39109060454203,positive
logp,0.6114985396273012,0.004271566899219687,compound_descriptor,143.15555721227435,positive
final_organic_pct,0.3997518476518847,0.011769209705207609,lc_numeric,33.965904055138346,positive
mobile_phase_system,0.315053183532011,0.009929510114058807,lc_categorical,31.72897553988484,positive
mobile_phase_b,0.2923592633962424,0.004427605912762284,lc_categorical,66.03100392325703,positive
mobile_phase_a,0.2362740310224943,0.0026475029514095574,lc_categorical,89.24410486367904,positive
temperature_c,0.14990489373644844,0.004210451508798466,lc_numeric,35.603044809611575,positive
flow_ml_min,0.10991640952952168,0.007003607686992754,lc_numeric,15.69425565250617,positive
hbond_donors,0.1034063218109628,0.007442937289733844,compound_descriptor,13.89321416876543,positive
peoe_vsa_positive,0.04402582898056062,0.00229058237121658,compound_descriptor,19.220364887894213,positive
slogp_vsa_hydrophobic,0.041687729288451214,0.0003657127508880109,compound_descriptor,113.99036316679286,positive
exact_mol_wt,0.04079605168523126,0.003082189535520049,compound_descriptor,13.236061966691436,positive
labute_asa,0.040305361657607154,0.004404515460467026,compound_descriptor,9.150918419828509,positive
bertz_complexity,0.0396991265889155,0.00336296078338389,compound_descriptor,11.804814015395479,positive
molar_refractivity,0.03441813471608435,0.004532079521600669,compound_descriptor,7.594336011105191,positive
smr_vsa_total,0.029064882995077184,0.0026966973160608937,compound_descriptor,10.777955249917591,positive
sulfonamide_count,0.02511238220144052,0.001290860057342857,compound_descriptor,19.4539927535852,positive
molecular_weight,0.024780358776961792,0.0019312086495721316,compound_descriptor,12.831528474384163,positive
rotatable_bonds,0.02384491838417424,0.0012424912450729724,compound_descriptor,19.191216420018968,positive
gasteiger_charge_max,0.023368982477599404,0.003804612844140583,compound_descriptor,6.142276082989511,positive
heavy_atom_count,0.021650254511697147,0.0031206740084558844,compound_descriptor,6.937685401625701,positive
valence_electron_count,0.020443184064147468,0.0024628370018563773,compound_descriptor,8.300664659796123,positive
gasteiger_charge_min,0.016577182558550934,0.0011224069179655318,compound_descriptor,14.769316094913812,positive
gasteiger_abs_charge_mean,0.016534364151200354,0.0016561396449102173,compound_descriptor,9.983677525029428,positive
strongest_acid_pka_proxy,0.01402150420598051,0.0016248806843232118,compound_descriptor,8.62925157598306,positive
ion_mode,0.013320650955674177,0.0018428788741425884,ms_setting,7.228174972634432,positive
aliphatic_ring_count,0.013303959558107556,0.0011195126455472155,compound_descriptor,11.883706370824072,positive
saturated_ring_count,0.013280965272810233,0.0005863964957311692,compound_descriptor,22.648439016079713,positive
peoe_vsa_negative,0.012586677394726076,0.0010493455043683372,compound_descriptor,11.994788506100988,positive
aromatic_ring_count,0.012485970903649704,0.0012766253396497905,compound_descriptor,9.78045047035876,positive
ring_count,0.01246437365722941,0.0024885071898581657,compound_descriptor,5.008775424892313,positive
halogen_count,0.01180880227429748,0.001075385812086684,compound_descriptor,10.980991325693262,positive
ph,0.011524289571729648,0.0006689738701139818,lc_numeric,17.226815704724167,positive
hetero_atom_count,0.011504062289131367,0.001746826490841581,compound_descriptor,6.585692597087289,positive
aromatic_atom_fraction,0.010492177259838606,0.0024510650151540435,compound_descriptor,4.280660527146074,positive
base_ionized_fraction_ph3,0.009893871638778787,0.002043303927067314,compound_descriptor,4.842094955976094,positive
gasteiger_dipole_moment_proxy,0.009668136492487248,0.0005122320493707456,compound_descriptor,18.874524747844507,positive
base_ionized_fraction_ph7,0.009081993964058213,0.001231961800728526,compound_descriptor,7.371976922245103,positive
strongest_base_pka_proxy,0.00891145190326803,0.0020392813373224686,compound_descriptor,4.369898228445797,positive
stationary_phase_type,0.00766182264295175,0.00017609245518935272,lc_categorical,43.510226685822346,positive
hbond_acceptors,0.007397092153088147,0.0010034133454120328,compound_descriptor,7.371929212333399,positive
fraction_csp3,0.005945549351018468,0.0008253458694905061,compound_descriptor,7.203706434841327,positive
alcohol_count,0.005844487339994912,0.0012707982608811956,compound_descriptor,4.5990677827511615,positive
acid_ionized_fraction_ph7,0.005725874605439311,0.0005429603904496123,compound_descriptor,10.54565803722414,positive
tpsa,0.005014623027283911,0.00048389480102037905,compound_descriptor,10.363043820081717,positive
amine_count,0.0047997192916809555,0.0006469172512328669,compound_descriptor,7.4193713068152976,positive
tertiary_amine_count,0.004466555191549704,0.0011952969648625546,compound_descriptor,3.736774477682461,positive
estimated_net_charge_ph7,0.004257780016004779,0.0015837477833786132,compound_descriptor,2.688420505266089,positive
phenol_count,0.003913848695270339,0.0006325659944246944,compound_descriptor,6.187257503195225,positive
amide_count,0.003811170996333546,0.0017239081760332127,compound_descriptor,2.2107737809465093,positive
basic_group_count,0.00375599045284547,0.001303989675037361,compound_descriptor,2.8803835833576334,positive
primary_amine_count,0.003323504458861537,0.0011806539373005547,compound_descriptor,2.814969191108101,positive
slogp_vsa_polar,0.0029023034865135835,0.002229010793096665,compound_descriptor,1.3020589651257555,weak_positive
estimated_net_charge_ph3,0.002784571892930613,0.0004650615669085311,compound_descriptor,5.987533890277986,positive
acid_ionized_fraction_ph3,0.002611442045924154,0.00044350959433270883,compound_descriptor,5.888129770570694,positive
carboxylic_acid_count,0.002031131398327446,0.00023023618089040653,compound_descriptor,8.82194705659348,positive
acidic_group_count,0.0016346798541921892,0.0015913265832626746,compound_descriptor,1.0272434781053101,weak_positive
spiro_atom_count,0.0005428068382321202,0.00016449859112670462,compound_descriptor,3.299765879538899,positive
nitrile_count,3.28391476392594e-05,8.018459615783327e-05,compound_descriptor,0.40954434159174014,neutral_or_unstable
