validation_scope,target,model,group_column,n_folds,n_rows,n_groups,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std
group_kfold,rt_min,linear_ridge,inchikey,5,15052,2785,3.7755983961110653,0.10657548643161678,5.680598731123604,0.09399187703334853,0.7092680405903355,0.03303242700293615
group_kfold,rt_min,random_forest,inchikey,5,15052,2785,1.9831988077687612,0.04624002316674212,3.346239036585189,0.19350904250819234,0.8982319960147367,0.019071158480455902
group_kfold,rt_min,extra_trees,inchikey,5,15052,2785,1.849240977011546,0.07460929930206774,3.163361268301946,0.15637980037276572,0.9090769831957527,0.016698998301135772
group_kfold,rt_min,hist_gradient_boosting,inchikey,5,15052,2785,2.0719680967927263,0.06155463840276462,3.3963538326483254,0.19462494450939627,0.8949219042809267,0.02138027970661921
group_kfold,rt_min,xgboost,inchikey,5,15052,2785,2.030313722861534,0.06107194867384832,3.320309661304602,0.20536398868468533,0.8999230047263028,0.01817099274833628
group_kfold,rt_min,catboost,inchikey,5,15052,2785,2.16405312604049,0.07911816304915527,3.362719258439965,0.18726812703563037,0.8970554503921907,0.020772311451678224
group_kfold,quality_score,linear_ridge,inchikey,5,15052,2785,0.00017568297910167192,0.0001752669343796318,0.00306615334431344,0.0045475258743997125,0.5539989078728416,0.33823126090081423
group_kfold,quality_score,random_forest,inchikey,5,15052,2785,4.0524178717295066e-05,6.64800302369425e-05,0.001035788020625095,0.0014549288377987957,0.949841403589312,0.026951333812702316
group_kfold,quality_score,extra_trees,inchikey,5,15052,2785,5.453211528556745e-05,9.354608617198966e-05,0.0014381131267026228,0.002107863404719929,0.9009111904188094,0.06533611271887946
group_kfold,quality_score,hist_gradient_boosting,inchikey,5,15052,2785,0.00037487946225332183,0.00019390506479642291,0.004975557600383566,0.004640548143474693,0.20024708409613062,0.09623806518604433
group_kfold,quality_score,xgboost,inchikey,5,15052,2785,5.606768297590209e-05,8.452378056041412e-05,0.0014970050131011075,0.002004867321050928,0.8967248014239264,0.037818091207499904
group_kfold,quality_score,catboost,inchikey,5,15052,2785,4.545473544677876e-05,6.1023454674218084e-05,0.0013132240206437898,0.0016512454130343441,0.9189542240311408,0.0030863433935337525
