ablation,n_train,n_test,n_features,uses_gradient_duration_min,uses_total_runtime_min,mae,rmse,r2,spearman,normalized_mae_runtime_pct
with_both,16215,3785,73,True,True,1.6136452959076055,2.617590671235625,0.918886900591215,0.9368140447462409,6.075349868933439
without_total_runtime,16215,3785,72,True,False,1.6180275365909267,2.610271342841874,0.919339884606586,0.9359847456047979,6.091848938108412
without_gradient_duration,16215,3785,72,False,True,1.6231298713755629,2.6473284799514265,0.9170334193363731,0.9350377920990359,6.111059150565704
without_both,16215,3785,71,False,False,1.6565811953141885,2.918303481125454,0.8991795957479226,0.9348004746613487,6.237002873775253
